,epoch,train_loss,train_accuracy,train_f1,valid_loss,valid_accuracy,valid_f1
53,54,0.7427447873928825,0.7748928060981419,0.7744251160351329,0.6671583689749241,0.82,0.8122680652680653
54,55,0.734119157954521,0.7762426552326505,0.7755954344085348,0.6017953678965569,0.85,0.8462395937395938
55,56,0.7396156807538822,0.7792599650627283,0.7775029974595565,0.6364374719560146,0.838,0.8343423798423798
56,57,0.703268183669463,0.783785929807845,0.7839966835381879,0.6185214444994926,0.836,0.8289271839271839
57,58,0.7128862705327532,0.7834683182467842,0.7817042142198105,0.6212579235434532,0.852,0.8477954822954823
58,59,0.6968703897773917,0.7905351754803874,0.787468964118844,0.6639545671641827,0.842,0.8362853812853814
59,60,0.6822833420358939,0.7898999523582658,0.7888618987028566,0.6426468081772327,0.84,0.8372120428591017
60,61,0.7031752580616075,0.7847387644910274,0.7843639394774687,0.6070026271045208,0.852,0.8470904095904095
61,62,0.661983187277305,0.7983960616166429,0.7968164050011337,0.5960095673799515,0.848,0.8418075813075813
62,63,0.6562489691724632,0.7937906939812609,0.7924094544565008,0.6227413192391396,0.844,0.837151875901876
63,64,0.6481095239293152,0.8031602350325552,0.8021199435145911,0.6090596243739128,0.842,0.8368856698856697
64,65,0.6619879698692844,0.7959345720184214,0.7933874781672404,0.6136125475168228,0.84,0.831619436119436
65,66,0.660068070828007,0.7956963633476258,0.7945095692694502,0.5883521176874638,0.836,0.830554834054834
66,67,0.6758560757649127,0.8004605367635382,0.7997845278053042,0.5812447927892208,0.854,0.847905538905539
67,68,0.6486729176213899,0.7960933777989518,0.7942643568388348,0.568346407264471,0.852,0.8470429570429571
68,69,0.6777724206145039,0.7975226298237256,0.7951150650180299,0.5620474107563496,0.852,0.8475427905427906
69,70,0.6365074628046926,0.8049070986183897,0.8033874870340446,0.5471767615526915,0.858,0.8540481740481739
70,71,0.6376352947072934,0.8016515801175162,0.8004506819998517,0.5598705299198627,0.852,0.8486706071706073
71,72,0.6322089094800998,0.8054629188502461,0.8048032317338505,0.6140386424958706,0.824,0.8162896547896549
72,73,0.602151032934334,0.8143560425599492,0.8131440080997276,0.5765762589871883,0.834,0.8262025197025196
73,74,0.6246981148035998,0.8084008257900588,0.8078009719226888,0.5943848192691803,0.846,0.8416466311466312
74,75,0.5851967663026704,0.81467365412101,0.8146108514793339,0.5715152211487293,0.862,0.856564602064602
75,76,0.6047676027123698,0.8168175321581705,0.8161191058234192,0.6089990735054016,0.828,0.8202428682428682
76,77,0.6020908584146936,0.8156264888041924,0.8151990698769097,0.5686084032058716,0.842,0.8374159729159731
77,78,0.6165326419215517,0.8067333650944895,0.8055593546943512,0.6031254827976227,0.858,0.8537089577089576
78,79,0.6132463552625046,0.8091948546927108,0.8089026003005436,0.5505075678229332,0.854,0.8511785991785993
79,80,0.5929791874389359,0.815070668572336,0.8143910088166709,0.5867664851248264,0.83,0.8247410367410366
80,81,0.5848504820753475,0.8164205177068445,0.8147725974989243,0.5620428770780563,0.866,0.8615528915528917
81,82,0.5804710013007149,0.8180879784024139,0.8165727919993193,0.5518906377255917,0.864,0.85871756021756
82,83,0.5827801111083345,0.8188820073050659,0.8164971460769637,0.5986955463886261,0.86,0.8525545010545009
83,84,0.5626184610545938,0.8255518500873432,0.824591587704478,0.5971733219921589,0.856,0.8512379287379288
84,85,0.5793379169278944,0.8166587263776401,0.8168730281490035,0.5951848961412907,0.858,0.8517680097680096
85,86,0.583131641905925,0.8191202159758615,0.8190294046768659,0.6096590086817741,0.842,0.8353649683649684
86,87,0.566593607216317,0.8234873749404479,0.8233870508905102,0.5866130366921425,0.848,0.8441737706737706
87,88,0.57613194896485,0.8211846911227568,0.8203484358497621,0.5860190652310848,0.85,0.8430615495615496
88,89,0.5583618201580144,0.8272987136731778,0.8276432587899142,0.5598387196660042,0.856,0.8522135087135088
89,90,0.5675582695128348,0.8218199142448785,0.8218464572066613,0.5550311617553234,0.858,0.855035409035409
90,91,0.5415292361817384,0.8308718437351119,0.8294813841163008,0.5461219698190689,0.858,0.8556282606282606
91,92,0.5668273789779789,0.8268222963315864,0.8257469171687477,0.5253250636160374,0.856,0.850818847818848
92,93,0.5378950079382979,0.8301572177227251,0.830133986556548,0.5545141138136387,0.84,0.8356793761793762
93,94,0.5373446310534695,0.8325393044306812,0.8317466982524845,0.5440872982144356,0.85,0.8446731601731602
94,95,0.5258496037594558,0.8363506431634111,0.8361335700804935,0.5635278671979904,0.852,0.8449410589410589
95,96,0.5297242375043443,0.8358742258218199,0.8343229990913374,0.551880307495594,0.858,0.8515685425685426
96,97,0.5409781884420947,0.8315864697474988,0.8311914740403985,0.5349279101938009,0.864,0.8585115440115441
97,98,0.5341405055395843,0.8311894552961728,0.8298511738654889,0.5856561921536922,0.848,0.8386505161505161
98,99,0.5162714006483252,0.8386533269811021,0.8384878133360817,0.5283706653863192,0.864,0.8577936507936508
99,100,0.5182434839343056,0.8395267587740194,0.8392930981981676,0.5295633226633072,0.872,0.8667391497391496
100,101,0.5126112354588388,0.8419088454819755,0.8418511594523994,0.5804310813546181,0.852,0.8472828837828836
101,102,0.5306996812070082,0.8371446720660632,0.8362159177302503,0.5323692299425602,0.87,0.864032301032301
102,103,0.4944826837269788,0.8467524217881531,0.8463435773366974,0.5312582403421402,0.874,0.8694181374181373
103,104,0.5291457079388768,0.8392885501032238,0.8372095678831856,0.5223309993743896,0.872,0.8686890331890331
104,105,0.4979344176761995,0.8438145148483405,0.8420250793228453,0.5523236505687237,0.87,0.8657912642912643
105,106,0.5336601299985411,0.8380181038589805,0.8385438480225538,0.506468690931797,0.854,0.8477839382839382
106,107,0.5102529273874263,0.8423852628235667,0.8419507722457179,0.5438621751964092,0.864,0.8597959817959817
107,108,0.4975505602087466,0.845164363982849,0.8455517884175086,0.5684287212789059,0.86,0.8536908646908646
108,109,0.49566554138200536,0.8427822772748929,0.8415757662407825,0.5579410083591938,0.872,0.868005439005439
109,110,0.4996738790104232,0.8390503414324282,0.8380571551551477,0.5501196347177029,0.858,0.8513120768120767
110,111,0.48904592827491955,0.8446085437509926,0.8435445707184809,0.550454119220376,0.848,0.8376558996558997
111,112,0.4883341924641943,0.8465142131173574,0.8451203178863449,0.5724020283669233,0.868,0.8631738816738816
112,113,0.4891174739689996,0.8493727171669049,0.8488327717117384,0.5590450465679169,0.86,0.8532777777777778
113,114,0.48190560430137036,0.8488168969350485,0.8487764029850728,0.542080033570528,0.854,0.8462029637029638
114,115,0.46690641510002506,0.8497697316182309,0.8487143132558831,0.6071842387318611,0.852,0.8434079254079253
115,116,0.46488541841204395,0.8504843576306178,0.8501693347297419,0.6093101501464844,0.856,0.8486123321123321
116,117,0.4775464675450688,0.8515959980943306,0.8502514951144216,0.5685775689780712,0.864,0.8584076479076478
117,118,0.48194491008514073,0.8484198824837224,0.8470132707999337,0.6046873182058334,0.84,0.8343883893883892
118,119,0.4631769827325937,0.8514371923138002,0.8506917658009938,0.6178701184689999,0.852,0.8447976467976468
119,120,0.4711508761505185,0.8519930125456566,0.8517525972955621,0.5535986982285976,0.852,0.8425440670440669
120,121,0.4664457149160695,0.8529458472288391,0.8517959849886971,0.5703125558793545,0.856,0.8469315129315129
121,122,0.45300992045003147,0.8601715102429729,0.8588495520846691,0.5886676870286465,0.854,0.8470836940836939
122,123,0.44932598208412905,0.8608861362553597,0.8602885605511074,0.5773035772144794,0.846,0.8364599289599289
123,124,0.4707278429251637,0.8496903287279657,0.8494349145657448,0.5487060211598873,0.874,0.8683719613719613
124,125,0.44762944380946573,0.8605685246942989,0.859522823247714,0.5491987280547619,0.866,0.86063875013875
125,126,0.4648024319543451,0.8547721137049389,0.8551656720019157,0.6163242869079113,0.846,0.8397509157509156
126,127,0.4361585027675338,0.8623153882801334,0.8623147785008011,0.6032296568155289,0.858,0.8538318348318348
127,128,0.4307629416890556,0.8602509131332381,0.8602428938717075,0.5737337283790112,0.874,0.8708342768342768
128,129,0.4625484068986728,0.8547721137049389,0.8542079715078927,0.5884634330868721,0.86,0.8530505605505606
129,130,0.45807002129288493,0.8581070350960774,0.8562512047386014,0.5797746442258358,0.862,0.8553662448662449
130,131,0.42860986882357427,0.8628712085119898,0.8622557523314097,0.5675897039473057,0.862,0.8570896325896326
131,132,0.4223157876941758,0.8645386692075592,0.8641295443260875,0.5754100792109966,0.87,0.8662776112776112
132,133,0.43738042672878596,0.8604891218040337,0.8609127863819366,0.5605235397815704,0.864,0.85805106005106
133,134,0.4343840157622613,0.8627918056217246,0.86199120414573,0.5283240005373955,0.878,0.8746713841713841
134,135,0.42783233338049825,0.8639034460854376,0.8627909901949066,0.5622433051466942,0.876,0.8724191919191919
135,136,0.42422640119409805,0.8643798634270288,0.8637689053503064,0.5643860064446926,0.864,0.858514097014097
136,137,0.4240027016340779,0.8630300142925202,0.8616353040231671,0.5799949951469898,0.866,0.861478021978022
137,138,0.43433770030585644,0.8622359853898682,0.8620636734080542,0.5377767011523247,0.866,0.8601915861915862
138,139,0.41232680805443506,0.8703350801969192,0.8702387461188579,0.528655793517828,0.866,0.8606638361638361
139,140,0.41946294260811684,0.8650944894394156,0.8649474298800567,0.523419002071023,0.876,0.8726562326562326
140,141,0.42430133633504663,0.8654121010004764,0.8643501056396161,0.5310351215302944,0.874,0.870075813075813
141,142,0.42964934357229223,0.8661267270128633,0.8649958202339555,0.5156732089817524,0.882,0.8786544566544567
142,143,0.42667888089787537,0.8627124027314594,0.8609222502427919,0.558956615626812,0.868,0.8623813408813408
143,144,0.40056138202018543,0.8712879148801016,0.870906823616195,0.5333303362131119,0.87,0.8646529581529581
144,145,0.4185333519720184,0.8680323963792282,0.8673444500675375,0.6038843542337418,0.864,0.8588636918636919
145,146,0.4194179184848282,0.8697792599650628,0.8704373967685666,0.567796528339386,0.866,0.8616418581418581
146,147,0.42321267996342654,0.8662855327933937,0.8653711732764898,0.5742902718484402,0.87,0.8642796092796093
147,148,0.4103162907404343,0.8663649356836589,0.8659513391769785,0.5696462951600552,0.868,0.8638139083139084
148,149,0.41514609296461047,0.8709703033190408,0.8704697488922677,0.5344154797494411,0.874,0.8709827394827394
149,150,0.4012033169342177,0.8748610449420359,0.8748005227920239,0.5318516790866852,0.878,0.8758541458541458
150,151,0.39562725763635587,0.8741464189296491,0.873448778180142,0.5609701946377754,0.864,0.8580624375624376
151,152,0.4017926092226493,0.871049706209306,0.8713001031211948,0.5905259363353252,0.868,0.8623431568431569
152,153,0.39103418981968446,0.8770843258694616,0.874747727786646,0.6027911342680454,0.848,0.8406322566322566
153,154,0.3974162244100861,0.8788311894552961,0.8777730769425542,0.5719241462647915,0.864,0.8597775002775002
154,155,0.3970137165131303,0.8748610449420359,0.8737667471712625,0.6280228458344936,0.856,0.8493142968142969
155,156,0.402172042406755,0.8753374622836271,0.8751717253061981,0.5831807628273964,0.862,0.8560923520923521
156,157,0.3920081378088385,0.8766873114181356,0.876180003178212,0.6133252829313278,0.842,0.8333863913863913
157,158,0.3948463179587108,0.873749404478323,0.8742909902211774,0.5962755046784878,0.87,0.8663185703185703
158,159,0.3958746707681472,0.8750992536128315,0.8745078218965443,0.5652132704854012,0.868,0.8643986568986568
159,160,0.395835975251222,0.8758932825154836,0.8754437555828729,0.5902119018137455,0.866,0.8644393939393938
160,161,0.39635026307426735,0.8751786565030967,0.8739911658637856,0.5998056009411812,0.87,0.8681414696414695
161,162,0.38102035617767854,0.8806574559313959,0.8799947754607139,0.6012983545660973,0.87,0.8644975024975026
162,163,0.39378361615735263,0.8784341750039701,0.8777070513043844,0.5604323334991932,0.878,0.8751829281829282
163,164,0.3733616660391619,0.8802604414800699,0.8796162102384819,0.5988597720861435,0.876,0.8734357864357863
164,165,0.3930462191855242,0.8699380657455932,0.8688428743421386,0.5710913427174091,0.874,0.868490120990121
165,166,0.37704675081115085,0.882642528188026,0.8816648783673661,0.5788226388394833,0.87,0.8662990897990898
166,167,0.37035211875353974,0.8825631252977608,0.8816211254316358,0.616089217364788,0.862,0.8589538239538238
167,168,0.3618792268225384,0.883754168651739,0.88289289105247,0.5309712998569012,0.866,0.8614354534354534
168,169,0.39047016959807596,0.8742258218199143,0.8733080806918917,0.5589480437338352,0.872,0.8670900210900211
169,170,0.3788702621829086,0.8781959663331745,0.8778884230567412,0.5991301499307156,0.87,0.8677675657675656
170,171,0.38696363757407,0.8758932825154836,0.8755632200623183,0.5779670625925064,0.87,0.8669217449217449
171,172,0.36340336694481407,0.881848499285374,0.8808914027781796,0.5792120806872845,0.876,0.8731353091353091
172,173,0.3979990336344327,0.8788311894552961,0.8789368817375017,0.5765218287706375,0.87,0.8668283383283384
173,174,0.37192423577387324,0.8792282039066222,0.878929282103599,0.6326710917055607,0.866,0.8632751692751692
174,175,0.36792256902468384,0.8862156582499603,0.8849628841510001,0.5588857755064964,0.874,0.8695910755910756
175,176,0.34727113168251694,0.8885977449579164,0.8887480969001996,0.5775679461658001,0.87,0.8678171273171273
176,177,0.36959097159998067,0.8802604414800699,0.8801675129492038,0.552327673882246,0.868,0.864074481074481
177,178,0.37420118373208844,0.8790693981260918,0.8789993055577778,0.6390567757189274,0.862,0.8585727605727607
178,179,0.37500970765267533,0.8815308877243132,0.8807749990616394,0.6207619085907936,0.864,0.8596608946608946
179,180,0.37067143543420106,0.8823249166269652,0.8819206414574177,0.6168308481574059,0.872,0.8686746031746031
180,181,0.35525340594464755,0.8850246148959822,0.8854335127666622,0.5796314068138599,0.876,0.8734531024531025
181,182,0.35596125259012135,0.8839923773225346,0.8838183298298005,0.6685210131108761,0.856,0.8517166722166722
182,183,0.3719298459476021,0.881848499285374,0.8815414416399411,0.5938938930630684,0.87,0.866495337995338
183,184,0.3626021862710793,0.8839923773225346,0.8840975286303895,0.5925339199602604,0.872,0.8668149628149628
184,185,0.3603635862999156,0.8858980466888995,0.884579137426621,0.6145872659981251,0.88,0.8772647352647353
185,186,0.35094814055462176,0.8874861044942036,0.8865883747931979,0.6335426531732082,0.87,0.8647670107670108
186,187,0.36477534117432414,0.8832777513101477,0.8829740950052302,0.6474680602550507,0.858,0.8518520923520922
187,188,0.3551148959071503,0.8842305859933302,0.8833759049630402,0.6699130274355412,0.864,0.8615561660561661
188,189,0.34732457810095724,0.8894711767508338,0.8874981721528755,0.6163230128586292,0.866,0.8606627261627261
189,190,0.34783958261690767,0.8894711767508338,0.8887204630918869,0.6232488080859184,0.88,0.8757973137973138
190,191,0.3461518986197898,0.8893917738605686,0.8883965620086767,0.6469969190657139,0.878,0.8740344655344654
191,192,0.34842544873505077,0.8852628235667779,0.8852481140338537,0.5713021345436573,0.886,0.8841670551670552
192,193,0.3524115031518912,0.8874067016039384,0.8872784315596598,0.6108832135796547,0.87,0.8663701853701855
193,194,0.3452158635340366,0.8913768461171987,0.890592296054821,0.5933831110596657,0.872,0.870447385947386
194,195,0.3531942468533661,0.8843099888835954,0.8838197765468487,0.5837341211736202,0.882,0.8797077922077924
195,196,0.33326477209474836,0.8908210258853422,0.8912346146859838,0.5969629362225533,0.876,0.872971694971695
196,197,0.35713298641485614,0.8865332698110211,0.886422386266376,0.597391165792942,0.87,0.8670606615606615
197,198,0.3441458271844738,0.8916944576782595,0.8910945311601131,0.6053320914506912,0.866,0.8634341769341769
198,199,0.3497146240572639,0.888438939177386,0.8880055921884348,0.6517772413790226,0.864,0.860594572094572
199,200,0.3328790662403639,0.8919326663490551,0.8909161960543419,0.6307462379336357,0.882,0.8788117438117438
200,201,0.3521290322396961,0.8901063998729554,0.8895950317724115,0.5882635749876499,0.876,0.8729170829170829
201,202,0.3428532256541518,0.8905828172145466,0.8895599730316648,0.6003827415406704,0.888,0.8839708069708071
202,203,0.3350338300472589,0.8914562490074639,0.8909337048407262,0.5836181342601776,0.882,0.8771865356865356
203,204,0.33221902807957027,0.894632364618072,0.893664516488007,0.5930303111672401,0.882,0.8787615717615717
204,205,0.339070007129369,0.8878831189455296,0.8866258891627565,0.6206387504935265,0.862,0.8573023088023086
205,206,0.32325091178949716,0.8967762426552327,0.8961450323407927,0.611997202038765,0.882,0.8766772116772117
206,207,0.341631381947377,0.8902652056534858,0.889328953785415,0.5514296777546406,0.866,0.8608043068043068
207,208,0.3313394627217109,0.8933619183738288,0.8934190064387121,0.5771212540566921,0.876,0.8708860583860585
208,209,0.34075497279917527,0.8924090836906463,0.8923475988149195,0.599399995058775,0.882,0.8793362748362749
209,210,0.3447693796629833,0.8901858027632206,0.8902137119487173,0.5791835226118565,0.858,0.8533902763902763
210,211,0.33172294713065104,0.8926472923614419,0.891910143332489,0.5662692412734032,0.878,0.8745982905982906
211,212,0.3235936874363023,0.8976496744481499,0.8971668212198725,0.5717896297574043,0.884,0.8811096681096682
212,213,0.33101697133731117,0.893044306812768,0.8927953535156748,0.5983216911554337,0.876,0.8728644133644136
213,214,0.34211728600832414,0.8897093854216294,0.8892961211556544,0.5909600257873535,0.878,0.8752193362193362
214,215,0.33470799826879793,0.8932031125932984,0.8929232622020633,0.6129369959235191,0.878,0.8755833610833611
215,216,0.3291860655857827,0.8950293790693982,0.8946544825757949,0.6390089467167854,0.872,0.8673126318126319
216,217,0.32527515178707045,0.8932825154835636,0.8925879506259364,0.6319443061947823,0.878,0.8742842712842713
217,218,0.3253279976962787,0.8962204224233762,0.8954615178209057,0.6509989127516747,0.872,0.8674138084138083
218,219,0.3205669718194129,0.8971732571065587,0.8978722183152895,0.6204869449138641,0.878,0.8739040404040403
219,220,0.3074029867494772,0.902334444973797,0.9018629418876674,0.6586396172642708,0.874,0.869897213897214
220,221,0.3283170510442729,0.8956646021915198,0.8948496993818955,0.602623850107193,0.876,0.8718254523254523
221,222,0.31347003344654434,0.9004287756074321,0.9001335590011034,0.6286839991807938,0.866,0.8622036852036851
222,223,0.32584511273100897,0.8971732571065587,0.8961860589621855,0.5985079072415829,0.892,0.8901843711843712
223,224,0.31840752507678144,0.8986025091313323,0.8977255779615669,0.5900509357452393,0.878,0.875042957042957
224,225,0.3346898983502146,0.8924090836906463,0.8916612770531155,0.5855561792850494,0.878,0.8762671217671217
225,226,0.32510845661919735,0.894632364618072,0.8947795889795636,0.6230618171393871,0.868,0.8652249972249971
226,227,0.30643058749776203,0.9037636969985707,0.9030755577237315,0.6104906983673573,0.876,0.8729975024975025
227,228,0.3039453588615214,0.9045577259012229,0.904585872896754,0.6674802303314209,0.866,0.863024531024531
228,229,0.32660459016029,0.894949976179133,0.8944998312741435,0.6267171576619148,0.862,0.857017982017982
229,230,0.30451349148214774,0.9036048912180403,0.903526280574736,0.6321227364242077,0.872,0.8688012543012543
230,231,0.32210503545055535,0.9017786247419406,0.9010700713722115,0.6554642803966999,0.86,0.8558295593295594
