,epoch,train_loss,train_accuracy,train_f1,test_loss,test_accuracy,test_f1
0,1,0.5578519581439267,0.7134831460674157,0.712549609092726,0.5296712740244369,0.7380817654548026,0.7335639910361939
1,2,0.524531187398181,0.7403201034677875,0.7393088454737597,0.5118996920359081,0.7495402461451408,0.7493768432883892
2,3,0.5201817157964682,0.7424622100072751,0.7416771153584532,0.5103862802097701,0.74812561889942,0.7473145283333449
3,4,0.5206424788372153,0.7420378304098294,0.7413708195508093,0.5101436066411739,0.7488329325222803,0.7486832801456602
4,5,0.5182438643326747,0.7433109692021663,0.742698637109449,0.5136908536852755,0.7445183194228321,0.7421954777534647
5,6,0.5178043291704291,0.7436140974860561,0.7430340664747795,0.5082200820899118,0.7470646484651294,0.7458733379034173
6,7,0.5176932886820431,0.7442607711583542,0.7436532354009746,0.5080174196899206,0.7523695006365823,0.7522811508261864
7,8,0.5169747824123664,0.7451095303532455,0.7445259785195508,0.5092757101512063,0.7488329325222803,0.7476326973131514
8,9,0.5167214057627266,0.744826610621615,0.7441877000729082,0.5105308487134821,0.7449427075965483,0.7420857403466099
9,10,0.5164862464949758,0.7446245250990219,0.743968410931459,0.5061019139861629,0.7507426793040034,0.7504127866723287
10,11,0.5157649328773336,0.7454126586371352,0.7447798582209472,0.5054085238486933,0.7501768284057151,0.7496212184419567
11,12,0.514862985342972,0.7453722415326166,0.7447269199740694,0.507903367146108,0.7506719479417173,0.7501090630511772
12,13,0.5142822481634081,0.7458370382345809,0.7451458585957573,0.5046560123765091,0.7510256047531475,0.7503745954088687
13,14,0.5134318983061985,0.7463018349365451,0.7456784076506353,0.5104349859699404,0.7495402461451408,0.7482935386485334
14,15,0.5134243385659324,0.7465847546681755,0.7460011328050891,0.5142646475075596,0.7493280520582827,0.7492900773833665
15,16,0.5136370924169087,0.74616037507073,0.7455723123369439,0.5044178322159867,0.7510256047531475,0.7502497464394885
16,17,0.5131228637017637,0.746099749413952,0.7454910481579455,0.5076948566134699,0.7515914556514358,0.7515818312717979
17,18,0.5127231528361639,0.7472314283404737,0.746689882805267,0.5059395116918227,0.7506719479417173,0.7491227265528407
18,19,0.5129481283346196,0.74616037507073,0.7456726430104053,0.5099403119195101,0.7481963502617061,0.7456521521171875
19,20,0.5131821724795556,0.7458976638913588,0.7453814962938333,0.5043395920846258,0.7501768284057151,0.7494451612556203
20,21,0.5125756226383746,0.746928300056584,0.7463190694525581,0.5051943717768829,0.753784127882303,0.7533502033602281
21,22,0.513033377800801,0.7466857974294722,0.7461520780063695,0.5080240513134866,0.7472768425519876,0.7451717173618833
22,23,0.5127193081440543,0.7461401665184706,0.7456189102824936,0.5057677296222065,0.7513085302022917,0.7503190903550088
23,24,0.5128203070209932,0.7472920539972516,0.7467154587451086,0.5037616120474371,0.7508134106662895,0.7501307171276042
24,25,0.5129335894218094,0.7466453803249535,0.7461702132686915,0.5074934900076681,0.75187438110058,0.7518507385021815
25,26,0.512830746535799,0.7458976638913588,0.7453262249346743,0.5078741173129276,0.7522280379120102,0.7522047699620156
26,27,0.5127704740725747,0.7461805836229892,0.7456714629526939,0.5140763933841999,0.7429622294525392,0.7420429313330552
27,28,0.5123638848771729,0.7467262145339908,0.7461812072745315,0.5054810408553386,0.7512377988400056,0.7499438907726628
28,29,0.5119673569304074,0.7475547651766228,0.747014859531302,0.5035056076707883,0.7532182769840147,0.7531048746958294
29,30,0.5121018311697075,0.7462007921752486,0.745736303099704,0.5060834942629974,0.7527938888102985,0.7527585608374869
30,31,0.5121016053035278,0.7452307816668013,0.744656372175858,0.5071719464133767,0.7512377988400056,0.7512304197506553
31,32,0.5123419304611763,0.7465241290113976,0.7460179958636527,0.5061230338536776,0.7510256047531475,0.7509685481657553
32,33,0.5116210455503266,0.7463624605933231,0.7457925545699202,0.5043692842328171,0.7512377988400056,0.750290043556339
33,34,0.511532273942494,0.7473728882062889,0.7468321197657846,0.5093063205076019,0.7513085302022917,0.7512426953963462
34,35,0.5116581666146138,0.7464432948023604,0.7459296244932028,0.5077870958800769,0.7514499929268638,0.7514473617012625
35,36,0.5123014635278889,0.7474537224153261,0.7469476138722932,0.5059054222851317,0.7495402461451408,0.7475954919560217
36,37,0.5122973377544443,0.7462412092797672,0.7456373745008313,0.5062674466031709,0.7526524260857264,0.7526512368794955
37,38,0.5114974227447534,0.7471708026836957,0.7466832135477859,0.505211970250531,0.75187438110058,0.750935576535525
38,39,0.5116569360944344,0.7461199579662113,0.7456384428359059,0.5067262799222005,0.7530768142594426,0.7529210325270222
39,40,0.511651223674609,0.74674642308625,0.7462066864978671,0.5094093514513646,0.7513792615645777,0.7513714985725483
40,41,0.5110898865747822,0.7465443375636569,0.7460022709127113,0.5080522936663476,0.7508134106662895,0.7507716542075864
41,42,0.5111198490750266,0.7464432948023604,0.7459379184437595,0.5043835275852842,0.7524402319988683,0.7523802729620797
42,43,0.5114611030318016,0.7454126586371352,0.7449698263356499,0.5097663757218495,0.7510963361154336,0.7510958865806299
43,44,0.5111133055400479,0.746867674399806,0.7463129267757843,0.5120538903307591,0.7472768425519876,0.7444652242669105
44,45,0.51103244313744,0.7467262145339908,0.7462386692603216,0.5059732102970192,0.7514499929268638,0.7508804515967291
45,46,0.5108380183308008,0.7456147441597284,0.7450249206851196,0.5043595897126522,0.7516621870137219,0.7512789012937536
46,47,0.5117713908739484,0.7471505941314365,0.7466425005839372,0.5054741349425251,0.7522280379120102,0.7520699532846626
47,48,0.5105403560076573,0.7474941395198448,0.746977054115093,0.5040190652754512,0.7525109633611543,0.7519455336279511
48,49,0.5112780358748227,0.7473526796540296,0.7468951045156198,0.505441565589128,0.7524402319988683,0.7521100279401349
49,50,0.5110888376793504,0.7463422520410637,0.745832534153579,0.5049990735172686,0.7515207242891498,0.7506675970924871
50,51,0.5107300040102745,0.7478578934605125,0.7473219406080343,0.5093239400181835,0.7493280520582827,0.7469379050704914
51,52,0.5106714007081296,0.7465241290113976,0.7460334862641069,0.5050864795484155,0.7525816947234404,0.7519020049439877
52,53,0.5111394765996193,0.747574973728882,0.7470403053082137,0.5062893784154054,0.7515207242891498,0.7515207230460265
53,54,0.5104377362155175,0.7464432948023604,0.7459543026443984,0.509082292944058,0.7508134106662895,0.7508131301670306
54,55,0.5107583341980473,0.7469687171611026,0.7464365352346856,0.5076780804681562,0.7498231715942849,0.749736568594148
55,56,0.510236375900202,0.7470293428178806,0.7465319784388165,0.504474933061125,0.7527231574480124,0.7525932225953852
56,57,0.5100282372507322,0.7470091342656212,0.7465185275566137,0.5053074314044073,0.7532890083463007,0.7528258495252083
57,58,0.5099531891118032,0.7475143480721042,0.7470115633284562,0.5061150270080135,0.751732918376008,0.7517245664719062
58,59,0.5106639777351103,0.7456349527119878,0.7451177865868821,0.5055775739488558,0.751732918376008,0.7517322029463835
59,60,0.5104448783382273,0.74763559938566,0.7471828788028836,0.5076808677269862,0.7515914556514358,0.7510940697787618
60,61,0.5107832626470916,0.7466453803249535,0.746143154121191,0.506074244620034,0.7533597397085868,0.7532856512392099
61,62,0.5097182639116464,0.7472718454449924,0.7467379488174679,0.5041729267096627,0.7535719337954448,0.753209230475705
62,63,0.5103453805511312,0.7474537224153261,0.7469932761728997,0.5049134798988497,0.7515914556514358,0.7509633916006697
63,64,0.5103033999370974,0.7483226901624768,0.7477796971839146,0.5038616417220275,0.7534304710708728,0.7530834738929457
64,65,0.5099033972859691,0.7465443375636569,0.7459975077951386,0.505447240032222,0.7525109633611543,0.7519621998744399
65,66,0.5097972724865881,0.7471708026836957,0.7466428000168237,0.5087583465543808,0.7489036638845664,0.7470693294680169
66,67,0.5099092376555583,0.7480397704308464,0.7474594995066868,0.5087763839717364,0.7495402461451408,0.7495324257312641
67,68,0.5099467578938457,0.7479589362218091,0.7474330463524561,0.506344145239748,0.7530768142594426,0.7526238200261002
68,69,0.5098704338766807,0.7469889257133618,0.7464581967078132,0.5050613799246189,0.7525816947234404,0.7521141614714357
69,70,0.5097060590712907,0.7475143480721042,0.7469190254511346,0.5055171565502478,0.7527231574480124,0.7526219255647493
70,71,0.509088542225749,0.7482014388489209,0.7476496142125397,0.5054330909413989,0.7520158438251521,0.7517296690546207
71,72,0.5091313896291632,0.748403524371514,0.747921442476597,0.5063796559879683,0.7535012024331589,0.7531556144417182
72,73,0.5097082166785726,0.7476760164901787,0.7471143847779821,0.5046918250586652,0.7529353515348706,0.7524577600641749
73,74,0.5095768985976237,0.7474941395198448,0.7469935958159275,0.5048173078045046,0.7521573065497241,0.7511845460519381
74,75,0.509581425046736,0.7484843585805513,0.7479177689094726,0.5056979739827807,0.7511670674777197,0.7502728760813621
75,76,0.5088587659350969,0.7481408131921429,0.747636081594814,0.5059107399094698,0.7503182911302871,0.7492378977867055
76,77,0.5096276267708426,0.7488885296257376,0.7482303949939828,0.5052903982309195,0.7529353515348706,0.7525116201913554
77,78,0.509050920143608,0.7489491552825156,0.7483927563216258,0.5058905203148251,0.7527231574480124,0.7525518429378788
78,79,0.509294027236389,0.7470899684746585,0.7464791120013096,0.505957451611083,0.7530768142594426,0.7525553897544204
79,80,0.5087992888165382,0.7487268612076631,0.7481184546395178,0.5051461593058314,0.7516621870137219,0.750720405137838
80,81,0.5090767453576244,0.7477770592514752,0.7472651700892912,0.5058322996575368,0.7530768142594426,0.7523093057477737
81,82,0.5092265076492491,0.749232075014146,0.7486705433644748,0.5052807705974147,0.7503890224925732,0.7493344965040194
82,83,0.5089940230051676,0.7479993533263277,0.7473780687513492,0.505110361996819,0.7532182769840147,0.7531429304080504
83,84,0.5096216222189501,0.7477568506992159,0.747169034506747,0.5063397363839646,0.7508134106662895,0.7497187599510351
84,85,0.5091040635370777,0.7476760164901787,0.747082068547648,0.504335785073932,0.7532890083463007,0.7527887359597183
85,86,0.5084146241192978,0.7484237329237733,0.7478661694798294,0.5059221454335554,0.7532890083463007,0.7525777929769972
86,87,0.5088643912967169,0.7490906151483308,0.7485098305142068,0.5069170452620648,0.7509548733908615,0.7496181933688371
87,88,0.508240990783509,0.7485247756850699,0.7479367779016153,0.5068103909762197,0.7516621870137219,0.7509965089661514
88,89,0.5084874096689914,0.7476962250424379,0.7471988103994498,0.506602770332837,0.7501768284057151,0.7491918353714849
89,90,0.5089755871884275,0.7495958289548137,0.7490273969246992,0.5055136633404779,0.7534304710708728,0.7531935909043563
90,91,0.5083959126503277,0.7481003960876242,0.7475827019701017,0.5052644497129173,0.7549158296788796,0.7547339505186624
